orf_name_id,orf_name,deg,eff,sens,trans,eigenvec_centr,closeness_centr,smallest_eigenvec,neighbor_degree
84,TRA2B,58,0.580492805402406,0.21076713199609018,0.7174833635813672,0.04112516914520469,0.5151515151515151,0.0057038486295154555,77.6896551724138
85,USP39,57,0.6420130159836168,0.19694921225255435,0.6697994987468672,0.03547231086566,0.4947613504074505,0.005512493204822699,67.70175438596492
86,NCBP2,49,0.4282937255161041,0.2370302322228821,0.8673469387755102,0.03345677585616856,0.4941860465116279,0.005666210600992439,75.40816326530613
87,SRSF9,57,0.5650177724577468,0.2013036030684402,0.6629072681704261,0.035536144588686876,0.49649532710280375,0.005699625026145739,68.35087719298245
88,THOC1,50,0.48214258551519795,0.21824308388446947,0.7812244897959184,0.02920719531983503,0.476457399103139,0.005590807310667469,65.42
89,PPIL3,47,0.4033685855829905,0.22205195289018595,0.788159111933395,0.029361173811515876,0.4780652418447694,0.005716165145608283,69.12765957446808
90,RPL15,112,1.9077277940094617,0.186381416945011,0.4834298584298584,0.10888864037584493,0.5533854166666666,0.005647915588336341,79.02678571428571
91,NOP56,76,0.9226735366471778,0.17877955949560528,0.5578947368421052,0.07639189151170471,0.5286069651741293,0.005046488435441,81.23684210526316
92,NOP58,70,0.7985889439130944,0.2463671373615192,0.7366459627329193,0.07884478336994824,0.5005889281507656,0.005666169282069123,87.67142857142858
93,RBM28,63,0.6432809483675294,0.24526564724196287,0.815668202764977,0.07405099287460683,0.49303944315545245,0.00570090942411014,91.26984126984127
94,RFC3,13,0.07092662297408922,0.12437570275116044,0.5897435897435898,0.0108788900507287,0.4560085836909871,0.00638366274957328,86.61538461538461
95,RPL10A,82,1.0537556199592255,0.2422596051690091,0.7199638663053297,0.09374095142787849,0.5182926829268293,0.0057027070411561215,90.76829268292683
96,RPL12,100,1.5080457716494902,0.22165256656718216,0.6058585858585859,0.1081731100047433,0.5498059508408797,0.005681634296143469,87.96
97,RPL27A,83,1.0722043595510946,0.24049838043882535,0.6873347046723479,0.09494748555841485,0.5292652552926526,0.005661367558649856,91.08433734939759
98,RPS15,71,0.8169445855178561,0.2558600174886875,0.7955734406438632,0.0841588538237364,0.5011792452830188,0.005745908305320737,93.30985915492958
99,RPS17,70,0.7851034374575588,0.24892222773859551,0.8157349896480331,0.08404332980664635,0.5017709563164109,0.00572523085984392,94.58571428571429
100,RPS2,111,1.8766891467209486,0.22193728860705722,0.5495495495495496,0.115544902046526,0.5490956072351422,0.005657061927677345,84.06306306306307
101,RPS3,109,1.7607714288496648,0.19193418499043688,0.5062861026163779,0.10884143173424678,0.5584756898817346,0.005655190638238525,83.6697247706422
102,RRP1B,24,0.102048996220751,0.14602203359723218,0.4673913043478261,0.022616988599531315,0.46703296703296704,0.005848093213380692,86.29166666666667
103,S100A11,6,0.005615671381635623,0.18462469336981105,0.4666666666666667,0.005555605544443867,0.4492600422832981,-0.0014247466748647849,109.33333333333333
104,NOLC1,74,0.8666076389989364,0.2249551004023927,0.6819696408737504,0.0817912513812456,0.5272952853598015,0.005720375093055696,88.87837837837837
105,PARP1,39,0.26078582249914783,0.0627703013711668,0.2631578947368421,0.024912735279644424,0.5053507728894173,0.004553065945460793,64.48717948717949
